,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,ccg
23,59.567,59.722,59.8799,60.0553,60.207,60.3278,60.4295,60.4926,60.54,60.5616,60.5865,60.6079,60.6203,60.6376,60.6766,60.7202,60.7657,60.8076,60.8607,60.9324,61.0244,61.1207,61.2206,61.3268,61.4413,61.5624,06N
24,23.0997,23.2238,23.3406,23.4575,23.5672,23.6676,23.7605,23.8507,23.9371,24.0153,24.0938,24.1697,24.2393,24.3125,24.3822,24.4583,24.5323,24.6047,24.6807,24.7528,24.8282,24.9043,24.9791,25.0553,25.1317,25.2066,07K
25,78.4164,79.0373,79.6284,80.2082,80.7737,81.3132,81.8298,82.3306,82.8187,83.294,83.76,84.2157,84.6555,85.0773,85.4903,85.9022,86.3069,86.7035,87.0957,87.4907,87.8899,88.2868,88.6795,89.0701,89.4598,89.8471,18C
26,49.4814,49.8945,50.2317,50.514,50.779,51.0539,51.3363,51.6282,51.9291,52.2376,52.5321,52.8186,53.1037,53.3859,53.6466,53.881,54.0958,54.3108,54.5141,54.6964,54.8569,55.0165,55.1829,55.354,55.5253,55.695,99A
27,58.7936,59.006,59.1976,59.3732,59.5349,59.681,59.8157,59.9271,60.0403,60.1475,60.2527,60.356,60.4607,60.5622,60.6693,60.7796,60.892,61.0051,61.1249,61.2529,61.3881,61.5259,61.6652,61.8073,61.9504,62.093,36J
28,24.5199,24.6998,24.8705,25.0355,25.1938,25.3419,25.4825,25.6156,25.7447,25.8707,25.995,26.1173,26.2362,26.3512,26.4667,26.5851,26.7024,26.8183,26.9331,27.05,27.1691,27.2871,27.4027,27.5159,27.6271,27.7357,02P
29,13.9305,13.924,13.917,13.91,13.9042,13.8977,13.8912,13.887,13.8854,13.8854,13.8875,13.8926,13.8997,13.9077,13.9184,13.9326,13.9484,13.9658,13.9849,14.0066,14.0304,14.055,14.0794,14.1041,14.1286,14.1529,00R
30,28.5372,28.6194,28.6951,28.7705,28.8416,28.9037,28.9579,29.0049,29.0496,29.0928,29.1337,29.1705,29.2078,29.2438,29.2841,29.327,29.3717,29.4176,29.467,29.5225,29.5845,29.6492,29.7165,29.7864,29.8591,29.933,00T
31,43.8727,44.0337,44.1769,44.3084,44.4351,44.5532,44.6627,44.766,44.8666,44.963,45.056,45.1465,45.2322,45.3175,45.4014,45.4847,45.5686,45.6531,45.7378,45.8258,45.9175,46.0121,46.1101,46.2114,46.3159,46.4224,X2C4Y
32,72.1292,72.6302,73.1071,73.58,74.0433,74.4878,74.9117,75.3172,75.7081,76.0851,76.4545,76.8184,77.1566,77.4768,77.789,78.0964,78.3944,78.6782,78.9587,79.2366,79.5187,79.8003,80.0794,80.3584,80.6382,80.9192,27D
33,67.4284,67.571,67.6836,67.7834,67.8728,67.9436,68.0009,68.0385,68.071,68.0977,68.1193,68.1349,68.1433,68.1479,68.1531,68.1623,68.1727,68.1852,68.1979,68.2155,68.2383,68.2635,68.2905,68.3186,68.3477,68.377,16C
34,31.0542,31.2211,31.376,31.524,31.6657,31.7951,31.9118,32.0186,32.122,32.217,32.3087,32.4028,32.495,32.5868,32.6789,32.7731,32.868,32.9624,33.0571,33.1546,33.2572,33.3594,33.4604,33.5603,33.6589,33.7556,02X
35,14.8942,14.9084,14.9189,14.9251,14.927,14.928,14.9256,14.9208,14.9152,14.9087,14.9037,14.9004,14.8983,14.8963,14.8969,14.9,14.9055,14.9118,14.92,14.9311,14.9455,14.9616,14.9791,14.998,15.0177,15.038,00Q
36,50.2704,50.4476,50.5502,50.6027,50.6425,50.6924,50.7576,50.8417,50.9378,51.0482,51.1478,51.2457,51.3431,51.4419,51.5225,51.5844,51.6375,51.6944,51.747,51.786,51.8078,51.8324,51.8652,51.9044,51.9473,51.9922,13T
37,42.6821,42.7448,42.8309,42.9146,42.9972,43.0705,43.134,43.1867,43.2367,43.2819,43.3265,43.3644,43.4009,43.4333,43.4723,43.5162,43.5571,43.5957,43.6358,43.6822,43.7347,43.7884,43.839,43.8917,43.9442,43.9979,42D
38,26.0645,26.1061,26.1182,26.1192,26.1128,26.1043,26.0983,26.0945,26.094,26.0971,26.1029,26.1054,26.1099,26.1185,26.1291,26.1359,26.1412,26.1487,26.1574,26.1657,26.1707,26.1746,26.1817,26.1911,26.201,26.2111,03F
39,20.2562,20.3228,20.3829,20.4416,20.4969,20.5455,20.6017,20.6586,20.7125,20.7668,20.8168,20.8652,20.9126,20.9572,21.0025,21.0448,21.0813,21.1159,21.1519,21.1859,21.2162,21.248,21.2807,21.3183,21.3566,21.3959,01E
40,78.9194,79.279,79.555,79.7778,79.985,80.1968,80.4188,80.6575,80.9108,81.1809,81.4361,81.6867,81.9421,82.1947,82.4151,82.609,82.7914,82.9789,83.1513,83.3,83.429,83.5682,83.7192,83.8772,84.0419,84.2115,15F
41,54.7627,55.1154,55.3893,55.6035,55.7852,55.9655,56.1461,56.3299,56.5306,56.7459,56.959,57.1757,57.4045,57.6441,57.8706,58.0807,58.2831,58.489,58.6879,58.8678,59.0268,59.1852,59.3462,59.5056,59.6606,59.8115,14L
42,34.5038,34.9092,35.2981,35.6815,36.0519,36.4024,36.7397,37.0617,37.3746,37.6778,37.9728,38.2599,38.5396,38.8096,39.0774,39.3456,39.6099,39.8684,40.124,40.3813,40.6417,40.8988,41.1517,41.4003,41.6451,41.8845,03R
43,15.9821,15.993,15.9995,16.0021,16.0023,16.0026,15.9948,15.9839,15.9732,15.9618,15.9494,15.9354,15.9224,15.9088,15.8981,15.8898,15.8822,15.8764,15.8718,15.8695,15.8698,15.8712,15.8732,15.8755,15.8782,15.8811,03H
