,ccg,month,111/2019/111_offered,111/2019/111_answered,amb_sys/2019/made,amb_sys/2019/answered,gp_appt/2019/available,ae_attendances/2019/attendances,population,People,Places,Lives
0,00Q,Jan,370.42018799143705,293.33428946320697,276.7975258895997,223.66185168228768,4665.28936706823,1044.377666282096,14.9084,96.0,99.5,94.6
1,00Q,Feb,332.50521709087667,270.2192970911752,247.20171390424923,198.60696575155225,4060.932091974994,972.1365136433152,14.9084,96.0,99.5,94.6
2,00Q,Mar,338.9342233078625,296.0845445405571,259.44625572563933,208.0370038841394,4191.127149794746,1056.3172439698426,14.9084,96.0,99.5,94.6
3,00Q,Apr,348.2336916816908,305.80059262090185,261.28459502753054,207.52923260007702,3765.259853505406,1068.458050495023,14.9084,96.0,99.5,94.6
4,00Q,May,353.122803759663,306.3809026598303,263.6845915456703,207.84425804978105,3888.8814359689836,1085.2941965603284,14.9084,96.0,99.5,94.6
5,00Q,Jun,338.47412034842637,282.7871545056825,264.53018617382315,214.65461086377695,3617.088352874889,1047.7985565184729,14.9084,96.0,99.5,94.6
6,00Q,Jul,343.340434532012,274.67110410409765,277.67420855555235,231.56857596268767,4273.161439188645,1130.302379866384,14.9084,96.0,99.5,94.6
7,00Q,Aug,345.9829177449898,283.10839756294655,267.70945617280967,221.39035238705353,3632.717125915591,1032.3039360360601,14.9084,96.0,99.5,94.6
8,00Q,Sep,330.9425250574766,260.90324843052036,261.819309277686,216.46600719957502,4170.534732097341,1053.5000402457674,14.9084,96.0,99.5,94.6
9,00Q,Oct,355.9310898409059,271.5540101807106,279.12083858116677,233.44836598164517,4937.082450162325,1076.4401277132354,14.9084,96.0,99.5,94.6
10,00Q,Nov,417.8584611379838,293.5664134787783,291.4171937988898,246.51363200094835,4432.1992970405945,1107.8989026320733,14.9084,96.0,99.5,94.6
11,00Q,Dec,466.91331225011686,334.016095727944,304.082460398503,255.02346421466328,3880.698129913337,1078.9219500415873,14.9084,96.0,99.5,94.6
12,00R,Jan,370.42018799143705,293.33428946320697,276.7975258895997,223.66185168228765,5439.528871014077,1297.4001723642632,13.924,84.8,98.5,88.5
13,00R,Feb,332.5052170908767,270.2192970911752,247.20171390424923,198.60696575155225,5547.112898592359,1205.1134731399025,13.924,84.8,98.5,88.5
14,00R,Mar,338.93422330786257,296.0845445405571,259.44625572563933,208.0370038841394,5777.7219189887965,1352.1258259120943,13.924,84.8,98.5,88.5
15,00R,Apr,348.23369168169074,305.8005926209019,261.28459502753054,207.52923260007702,5453.892559609308,1356.147658718759,13.924,84.8,98.5,88.5
16,00R,May,353.12280375966293,306.3809026598303,263.6845915456703,207.84425804978105,5633.366848606723,1379.129560471129,13.924,84.8,98.5,88.5
17,00R,Jun,338.4741203484264,282.78715450568257,264.53018617382315,214.65461086377698,5273.125538638323,1370.1522550991094,13.924,84.8,98.5,88.5
18,00R,Jul,343.340434532012,274.67110410409765,277.6742085555523,231.56857596268773,6140.045963803505,1457.3398448721632,13.924,84.8,98.5,88.5
19,00R,Aug,345.9829177449898,283.1083975629465,267.70945617280967,221.39035238705353,5211.792588336685,1437.9488652686011,13.924,84.8,98.5,88.5
20,00R,Sep,330.94252505747653,260.90324843052036,261.81930927768605,216.46600719957502,6150.028727377191,1385.2341281241024,13.924,84.8,98.5,88.5
21,00R,Oct,355.9310898409059,271.5540101807106,279.12083858116677,233.4483659816452,6783.036483769032,1381.0686584314853,13.924,84.8,98.5,88.5
22,00R,Nov,417.8584611379838,293.5664134787783,291.41719379888974,246.51363200094838,6148.089629416834,1373.0249928181559,13.924,84.8,98.5,88.5
23,00R,Dec,466.9133122501169,334.01609572794405,304.08246039850303,255.02346421466328,5355.8603849468545,1360.9594943981615,13.924,84.8,98.5,88.5
24,00T,Jan,370.420187991437,293.33428946320697,276.7975258895997,223.66185168228768,4718.896971984039,353.95570836565406,28.6194,93.1,100.0,95.7
25,00T,Feb,332.50521709087667,270.2192970911752,247.20171390424923,198.60696575155228,4361.202540933772,333.1656149325283,28.6194,93.1,100.0,95.7
26,00T,Mar,338.9342233078625,296.0845445405571,259.44625572563933,208.03700388413944,4590.208040699666,364.61281508347486,28.6194,93.1,100.0,95.7
27,00T,Apr,348.2336916816908,305.80059262090185,261.2845950275305,207.52923260007705,4328.602276777291,365.3116417534959,28.6194,93.1,100.0,95.7
28,00T,May,353.1228037596629,306.3809026598303,263.6845915456703,207.84425804978102,4652.438555665039,372.3697911207083,28.6194,93.1,100.0,95.7
29,00T,Jun,338.4741203484264,282.78715450568257,264.53018617382315,214.65461086377695,4426.333186579733,371.1119031146705,28.6194,93.1,100.0,95.7
30,00T,Jul,343.340434532012,274.67110410409765,277.6742085555523,231.56857596268767,5071.594792343655,396.19978056842564,28.6194,93.1,100.0,95.7
31,00T,Aug,345.9829177449898,283.1083975629465,267.70945617280967,221.39035238705353,4446.878690678352,346.478262996429,28.6194,93.1,100.0,95.7
32,00T,Sep,330.94252505747653,260.90324843052036,261.819309277686,216.46600719957502,5011.63546405585,365.80082042251064,28.6194,93.1,100.0,95.7
33,00T,Oct,355.9310898409058,271.5540101807106,279.1208385811668,233.4483659816452,5822.7635799492655,373.97709246175674,28.6194,93.1,100.0,95.7
34,00T,Nov,417.8584611379838,293.5664134787784,291.4171937988898,246.51363200094835,5377.541108478864,383.5510178410449,28.6194,93.1,100.0,95.7
35,00T,Dec,466.913312250117,334.016095727944,304.08246039850303,255.0234642146633,4561.591088562304,367.86235909907265,28.6194,93.1,100.0,95.7
36,01E,Jan,370.42018799143705,293.33428946320697,276.7975258895997,223.66185168228768,3419.6567402129626,628.7027378117189,20.3228,105.06666666666666,103.1,105.93333333333334
37,01E,Feb,332.5052170908767,270.2192970911752,247.20171390424926,198.60696575155225,3056.2225677564115,588.7476135178223,20.3228,105.06666666666666,103.1,105.93333333333334
38,01E,Mar,338.9342233078625,296.08454454055715,259.44625572563933,208.0370038841394,3252.89822268585,652.6167654063416,20.3228,105.06666666666666,103.1,105.93333333333334
39,01E,Apr,348.2336916816908,305.80059262090185,261.2845950275305,207.52923260007705,2950.872911213022,673.1847973704411,20.3228,105.06666666666666,103.1,105.93333333333334
40,01E,May,353.1228037596629,306.3809026598303,263.68459154567023,207.84425804978102,3141.9391028795244,673.0371799161533,20.3228,105.06666666666666,103.1,105.93333333333334
41,01E,Jun,338.47412034842637,282.78715450568257,264.53018617382315,214.65461086377695,2840.0122030428874,654.6834097663708,20.3228,105.06666666666666,103.1,105.93333333333334
42,01E,Jul,343.340434532012,274.67110410409765,277.67420855555235,231.5685759626877,3378.225441376188,707.3828409471136,20.3228,105.06666666666666,103.1,105.93333333333334
43,01E,Aug,345.9829177449898,283.10839756294655,267.70945617280967,221.3903523870535,2881.492707697758,666.1483653827228,20.3228,105.06666666666666,103.1,105.93333333333334
44,01E,Sep,330.9425250574766,260.90324843052036,261.819309277686,216.46600719957505,3434.270868187454,665.8531304741472,20.3228,105.06666666666666,103.1,105.93333333333334
45,01E,Oct,355.9310898409058,271.5540101807106,279.1208385811668,233.44836598164517,4125.464994981006,681.4513748105576,20.3228,105.06666666666666,103.1,105.93333333333334
46,01E,Nov,417.8584611379838,293.5664134787784,291.4171937988898,246.51363200094835,3725.0772531344105,677.8593500895546,20.3228,105.06666666666666,103.1,105.93333333333334
47,01E,Dec,466.9133122501169,334.016095727944,304.082460398503,255.02346421466328,3132.5899974412973,696.7543842383923,20.3228,105.06666666666666,103.1,105.93333333333334
48,01G,Jan,370.4201879914371,293.33428946320697,276.79752588959974,223.6618516822877,4978.8973885518335,349.5507936754232,25.7788,91.0,98.0,91.5
49,01G,Feb,332.5052170908767,270.2192970911752,247.20171390424926,198.60696575155228,4475.266498052663,324.33627632007693,25.7788,91.0,98.0,91.5
50,01G,Mar,338.9342233078625,296.08454454055715,259.44625572563933,208.0370038841394,4666.082207084892,360.21847409499276,25.7788,91.0,98.0,91.5
51,01G,Apr,348.2336916816908,305.80059262090185,261.28459502753054,207.52923260007705,4528.061818238242,347.76638167796796,25.7788,91.0,98.0,91.5
52,01G,May,353.1228037596628,306.3809026598303,263.6845915456703,207.84425804978105,4702.546278337239,356.3781091439477,25.7788,91.0,98.0,91.5
53,01G,Jun,338.4741203484264,282.78715450568257,264.53018617382315,214.65461086377695,4429.337284900771,342.21918785979176,25.7788,91.0,98.0,91.5
