,ccg,month,111_111_offered,111_111_answered,amb_sys_made,amb_sys_answered,gp_appt_attended,gp_appt_available,ae_attendances_attendances,population,People,Places,Lives,year
42,00R,Jul,318.61597303748187,233.43889133426055,279.32721866682766,220.90790821474917,,4702.487347905674,1382.2906571910555,13.9305,85.8,97.6,88.0,2018
43,00R,Aug,281.4762803181315,224.51637809652925,257.09810642270526,200.5387111452096,,4435.734539320197,1319.981335917591,13.9305,85.8,97.6,88.0,2018
44,00R,Sep,283.5354721185626,228.92195448170204,252.40142986840127,196.43204969880904,,4577.2226409676605,1271.6700764509528,13.9305,85.8,97.6,88.0,2018
45,00R,Oct,306.5441076343853,240.00720521760917,280.4095642621207,216.49060967511463,,5454.9370087218695,1319.478841391192,13.9305,85.8,97.6,88.0,2018
46,00R,Nov,315.292742247602,249.2384018561641,266.30976613715745,203.06874281651724,,5275.690032662144,1224.2202361724271,13.9305,85.8,97.6,88.0,2018
47,00R,Dec,372.9266683507496,303.4611810109694,267.44876881234853,214.02895723816667,3636.4811026165607,4041.9224004881376,1209.3607551774885,13.9305,85.8,97.6,88.0,2018
48,00T,Jan,381.3412215618092,289.7130475198559,291.22911283023024,220.1049406341256,2651.801858626635,3071.044110844792,328.5886492017437,28.5372,95.2,100.1,96.6,2018
49,00T,Feb,328.14999199962966,240.8824594174129,245.46191442710028,192.51880380102585,2343.1520962112613,2750.7253689920526,296.7004471356685,28.5372,95.2,100.1,96.6,2018
50,00T,Mar,387.522704347923,281.97251819034165,284.77215941426743,220.1049406341256,2430.1613332772663,2863.455419592672,354.0992108546038,28.5372,95.2,100.1,96.6,2018
51,00T,Apr,327.84521598362653,260.8257515415122,248.47841550856668,190.99883110583096,2293.182232314313,2653.8342934835937,343.34132290484,28.5372,95.2,100.1,96.6,2018
52,00T,May,338.62178331871,266.7141804660846,276.0372006479226,213.73785706903556,2513.8065402352017,2778.408533423041,381.4669974629607,28.5372,95.2,100.1,96.6,2018
53,00T,Jun,308.09924679296506,238.53412114026088,263.60780953374547,206.50528776619308,,2705.9066761980853,351.0155165888735,28.5372,95.2,100.1,96.6,2018
54,00T,Jul,318.6159730374818,233.4388913342606,279.3272186668277,220.9079082147491,,2875.9654065570558,361.0375229524971,28.5372,95.2,100.1,96.6,2018
55,00T,Aug,281.4762803181315,224.51637809652925,257.09810642270526,200.5387111452096,,2766.1438403207044,329.99032841343933,28.5372,95.2,100.1,96.6,2018
56,00T,Sep,283.5354721185626,228.92195448170204,252.40142986840127,196.43204969880904,,3030.9560853902976,333.0039387185849,28.5372,95.2,100.1,96.6,2018
57,00T,Oct,306.5441076343853,240.00720521760917,280.4095642621207,216.49060967511463,,3876.484027865383,351.26081045092025,28.5372,95.2,100.1,96.6,2018
58,00T,Nov,315.29274224760206,249.23840185616413,266.30976613715745,203.06874281651724,,3702.9561414574655,345.1985478603367,28.5372,95.2,100.1,96.6,2018
59,00T,Dec,372.9266683507496,303.4611810109695,267.4487688123485,214.02895723816667,2606.28232622682,2963.5002733274464,345.8643454858921,28.5372,95.2,100.1,96.6,2018
60,01E,Jan,381.3412215618091,289.71304751985593,291.22911283023024,220.1049406341256,3098.6562138999416,3386.1237547022643,594.2378136076856,20.2562,105.96666666666664,101.40000000000002,105.33333333333331,2018
61,01E,Feb,328.1499919996296,240.8824594174129,245.46191442710025,192.51880380102585,2678.1923559206566,2949.2698531807546,551.7816767212014,20.2562,105.96666666666664,101.40000000000002,105.33333333333331,2018
62,01E,Mar,387.52270434792297,281.9725181903417,284.77215941426743,220.1049406341256,2818.791283656362,3097.0270830659256,638.4711841312783,20.2562,105.96666666666664,101.40000000000002,105.33333333333331,2018
63,01E,Apr,327.8452159836266,260.8257515415122,248.47841550856668,190.99883110583096,2851.324532735656,3122.056456788539,639.3104333488019,20.2562,105.96666666666664,101.40000000000002,105.33333333333331,2018
64,01E,May,338.62178331871,266.7141804660846,276.0372006479226,213.7378570690355,2916.884706904553,3205.635805333676,677.2741185414836,20.2562,105.96666666666664,101.40000000000002,105.33333333333331,2018
65,01E,Jun,308.0992467929651,238.53412114026088,263.60780953374547,206.50528776619305,,2989.9487564301303,674.7070032878822,20.2562,105.96666666666664,101.40000000000002,105.33333333333331,2018
66,01E,Jul,318.61597303748187,233.4388913342606,279.3272186668278,220.9079082147491,,3040.0075038753566,728.2214828052646,20.2562,105.96666666666664,101.40000000000002,105.33333333333331,2018
67,01E,Aug,281.4762803181315,224.51637809652925,257.09810642270526,200.5387111452096,,2887.659087094322,638.56991933334,20.2562,105.96666666666664,101.40000000000002,105.33333333333331,2018
68,01E,Sep,283.5354721185626,228.92195448170204,252.4014298684013,196.43204969880907,,2853.151133973796,622.871022205547,20.2562,105.96666666666664,101.40000000000002,105.33333333333331,2018
69,01E,Oct,306.5441076343852,240.0072052176092,280.4095642621207,216.49060967511468,,3649.894847009805,654.5156544662868,20.2562,105.96666666666664,101.40000000000002,105.33333333333331,2018
70,01E,Nov,315.29274224760206,249.2384018561641,266.30976613715745,203.06874281651724,,3555.4052586368616,616.6013368746359,20.2562,105.96666666666664,101.40000000000002,105.33333333333331,2018
71,01E,Dec,372.9266683507496,303.4611810109695,267.4487688123485,214.02895723816664,2412.1009863646686,2724.8447388947584,622.6735518014237,20.2562,105.96666666666664,101.40000000000002,105.33333333333331,2018
72,01G,Jan,381.3412215618091,289.7130475198559,291.22911283023024,220.1049406341256,1254.6775258639666,1385.1765667746297,339.8478035281909,25.4408,90.6,97.5,91.3,2018
73,01G,Feb,328.14999199962966,240.88245941741283,245.46191442710025,192.51880380102585,1175.3954278167353,1316.1142731360649,313.94453004622494,25.4408,90.6,97.5,91.3,2018
